INFO 2013-01-10 16:16:03,332 main 827 ...simulated 640000 single reads.
INFO 2013-01-10 16:16:13,740 main 827 ...simulated 645000 single reads.
INFO 2013-01-10 16:16:24,133 main 827 ...simulated 650000 single reads.
INFO 2013-01-10 16:16:34,536 main 827 ...simulated 655000 single reads.
INFO 2013-01-10 16:16:44,973 main 827 ...simulated 660000 single reads.
INFO 2013-01-10 16:16:55,362 main 827 ...simulated 665000 single reads.
INFO 2013-01-10 16:17:05,761 main 827 ...simulated 670000 single reads.
INFO 2013-01-10 16:17:16,163 main 827 ...simulated 675000 single reads.
INFO 2013-01-10 16:17:26,566 main 827 ...simulated 680000 single reads.
INFO 2013-01-10 16:17:36,966 main 827 ...simulated 685000 single reads.
INFO 2013-01-10 16:17:47,426 main 827 ...simulated 690000 single reads.
INFO 2013-01-10 16:17:57,952 main 827 ...simulated 695000 single reads.
INFO 2013-01-10 16:18:08,413 main 827 ...simulated 700000 single reads.
INFO 2013-01-10 16:18:18,830 main 827 ...simulated 705000 single reads.
INFO 2013-01-10 16:18:29,219 main 827 ...simulated 710000 single reads.
INFO 2013-01-10 16:18:39,638 main 827 ...simulated 715000 single reads.
INFO 2013-01-10 16:18:50,105 main 827 ...simulated 720000 single reads.
INFO 2013-01-10 16:19:00,518 main 827 ...simulated 725000 single reads.
INFO 2013-01-10 16:19:10,918 main 827 ...simulated 730000 single reads.
INFO 2013-01-10 16:19:21,317 main 827 ...simulated 735000 single reads.
INFO 2013-01-10 16:19:31,713 main 827 ...simulated 740000 single reads.
INFO 2013-01-10 16:19:42,101 main 827 ...simulated 745000 single reads.
INFO 2013-01-10 16:19:52,509 main 827 ...simulated 750000 single reads.
INFO 2013-01-10 16:20:02,918 main 827 ...simulated 755000 single reads.
INFO 2013-01-10 16:20:13,318 main 827 ...simulated 760000 single reads.
INFO 2013-01-10 16:20:23,717 main 827 ...simulated 765000 single reads.
INFO 2013-01-10 16:20:34,236 main 827 ...simulated 770000 single reads.
INFO 2013-01-10 16:20:44,679 main 827 ...simulated 775000 single reads.
INFO 2013-01-10 16:20:55,160 main 827 ...simulated 780000 single reads.
INFO 2013-01-10 16:21:05,709 main 827 ...simulated 785000 single reads.
INFO 2013-01-10 16:21:16,204 main 827 ...simulated 790000 single reads.
INFO 2013-01-10 16:21:26,691 main 827 ...simulated 795000 single reads.
INFO 2013-01-10 16:21:37,174 main 827 ...simulated 800000 single reads.
INFO 2013-01-10 16:21:47,705 main 827 ...simulated 805000 single reads.
INFO 2013-01-10 16:21:58,184 main 827 ...simulated 810000 single reads.
INFO 2013-01-10 16:22:08,598 main 827 ...simulated 815000 single reads.
INFO 2013-01-10 16:22:18,912 main 827 ...simulated 820000 single reads.
INFO 2013-01-10 16:22:29,274 main 827 ...simulated 825000 single reads.
INFO 2013-01-10 16:22:39,677 main 827 ...simulated 830000 single reads.
INFO 2013-01-10 16:22:50,004 main 827 ...simulated 835000 single reads.
INFO 2013-01-10 16:23:00,366 main 827 ...simulated 840000 single reads.
INFO 2013-01-10 16:23:10,761 main 827 ...simulated 845000 single reads.
INFO 2013-01-10 16:23:21,086 main 827 ...simulated 850000 single reads.
